Unnamed: 0,Product_Name,Category_Path,Brand_Name,Raw_Description,Price_String
229,Workstation Laptop Pro 16,Accessories > Adapters & Hubs,SoundX,High performance workstation laptop built for video editing.,₹129181.77
230,   ProBook Ultra Laptop 15-inch   ,Electronics > Computers > Laptops,   Acoustics   ,,Free
231,GAMING DESKTOP RTX 4070,Electronics > Laptops,Apple,Ultra thin lightweight laptop for everyday office work.,Free
232,AIR LITE WIRELESS EARBUDS,Tech > Audio > Speakers,LogiTech,Professional studio monitor wired headphones for audio mixing.,86.97 USD
233,   Smartwatch Series X   ,Wearables > Smartwatches,Clicky,Powerful gaming desktop PC with liquid cooling.,-683.51
234,ProBook Ultra Laptop 15-inch,ELECTRONICS > LAPTOPS,LogiTech,Premium wireless over-ear headphones with active noise cancellation.,PRICE: $1327.98
235,Ergonomic Wireless Mouse,Tech > Audio > Speakers,,Powerful gaming desktop PC with liquid cooling.,"$1,191.95"
236,ergonomic wireless mouse,Accessories > Mouse,TechCorp,Smart watch with heart rate monitor and GPS tracking.,$83.60
237,Portable External SSD 1TB,,Zenith,Ultra thin lightweight laptop for everyday office work.,
238,Bluetooth Party Speaker,Electronics > Laptops,techcorp,Affordable office laptop with long battery efficiency.,₹104882.67
239,BUDGET OFFICE LAPTOP 15,Electronics > Computers > Laptops,SoundX,Compact wireless earbuds with deep bass. <br>Waterproof!,₹35705.70
240,Gaming Desktop RTX 4070,Electronics > Desktops,SoundX,Affordable office laptop with long battery efficiency.,Free
241,bluetooth party speaker,Accessories > Mouse,SoundX,Compact wireless earbuds with deep bass. <br>Waterproof!,₹18002.95
242,ProBook Ultra Laptop 15-inch,ELECTRONICS > LAPTOPS,Acoustics,Professional studio monitor wired headphones for audio mixing.,PRICE: $1245.64
243,Air Lite Wireless Earbuds,Wearables > Smartwatches,,Powerful gaming desktop PC with liquid cooling.,$864.40
244,   Smartwatch Series X   ,Accessories > Mouse,techcorp,Mechanical keyboard with tactile RGB switches.,Free
245,slim ultrabook 14-inch,Wearables > Smartwatches,   Clicky   ,Smart watch with heart rate monitor and GPS tracking.,PRICE: $785.40
246,STUDIO MONITOR HEADPHONES,Accessories > Adapters & Hubs,SoundX,Ultra thin lightweight laptop for everyday office work.,
247,USB-C MULTIPORT HUB,Audio > Wireless > Earbuds,Zenith,Ultra thin lightweight laptop for everyday office work.,₹143599.37
248,bluetooth party speaker,,Clicky,Smart watch with heart rate monitor and GPS tracking.,1730
249,Studio Monitor Headphones,Accessories > Adapters & Hubs,   Zenith   ,<p>High performance <b>lightweight</b> laptop for productivity.</p>,1799
250,USB-C Multiport Hub,Accessories > Keyboards,,Powerful gaming desktop PC with liquid cooling.,Free
251,   Smartwatch Series X   ,,   SoundX   ,Ultra thin lightweight laptop for everyday office work.,$215.51
252,Studio Monitor Headphones,Audio > Wireless > Earbuds,SoundX,,-1675.68
253,WORKSTATION LAPTOP PRO 16,Accessories > Keyboards,Apple,Ergonomic wireless optical mouse with quiet clicks.,126.28 USD
254,Gaming Desktop RTX 4070,Accessories > Keyboards,Apple,,929.66 USD
255,Studio Monitor Headphones,Electronics > Desktops,   Acoustics   ,Compact wireless earbuds with deep bass. <br>Waterproof!,Free
256,Air Lite Wireless Earbuds,Tech > Audio > Speakers,Apple,Ergonomic wireless optical mouse with quiet clicks.,
257,   Studio Monitor Headphones   ,,   Acoustics   ,Mechanical keyboard with tactile RGB switches.,PRICE: $680.21
258,Workstation Laptop Pro 16,,   Acoustics   ,Ultra thin lightweight laptop for everyday office work.,-193.50
259,Ergonomic Wireless Mouse,Audio > Wireless > Earbuds,Zenith,Powerful gaming desktop PC with liquid cooling.,Free
260,Over-Ear Noise Canceling Headphones,Audio > Headphones,Apple,Compact wireless earbuds with deep bass. <br>Waterproof!,-904.16
261,workstation laptop pro 16,Electronics > Desktops,   Clicky   ,<p>High performance <b>lightweight</b> laptop for productivity.</p>,Free
262,   Smartwatch Series X   ,Audio > Headphones,SoundX,Ergonomic wireless optical mouse with quiet clicks.,
263,ERGONOMIC WIRELESS MOUSE,Electronics > Computers > Laptops,,<p>High performance <b>lightweight</b> laptop for productivity.</p>,₹136596.19
264,Workstation Laptop Pro 16,Wearables > Smartwatches,,Compact wireless earbuds with deep bass. <br>Waterproof!,₹81416.72
265,studio monitor headphones,Audio > Headphones,techcorp,High performance workstation laptop built for video editing.,$427.52
266,Mechanical RGB Keyboard,ELECTRONICS > LAPTOPS,BuildPC,Professional studio monitor wired headphones for audio mixing.,-1974.63
267,UNKNOWN PRODUCT,Accessories > Keyboards,Apple,<p>High performance <b>lightweight</b> laptop for productivity.</p>,PRICE: $139.77
268,air lite wireless earbuds,Accessories > Adapters & Hubs,TechCorp,Smart watch with heart rate monitor and GPS tracking.,472.84 USD
269,   USB-C Multiport Hub   ,Tech > Audio > Speakers,   techcorp   ,<p>High performance <b>lightweight</b> laptop for productivity.</p>,₹38506.84
270,   Smartwatch Series X   ,Electronics > Desktops,BuildPC,Mechanical keyboard with tactile RGB switches.,₹27364.41
271,Air Lite Wireless Earbuds,Electronics > Laptops,   SoundX   ,Ultra thin lightweight laptop for everyday office work.,
272,studio monitor headphones,Wearables > Smartwatches,Apple,Mechanical keyboard with tactile RGB switches.,₹88732.88
273,BUDGET OFFICE LAPTOP 15,ELECTRONICS > LAPTOPS,SoundX,Smart watch with heart rate monitor and GPS tracking.,-98.06
274,   Portable External SSD 1TB   ,Accessories > Keyboards,Apple,Powerful gaming desktop PC with liquid cooling.,₹14131.33
275,UNKNOWN PRODUCT,Electronics > Desktops,Zenith,Premium wireless over-ear headphones with active noise cancellation.,$1761.28
276,STUDIO MONITOR HEADPHONES,Electronics > Computers > Laptops,,Premium wireless over-ear headphones with active noise cancellation.,
277,SMARTWATCH SERIES X,Tech > Audio > Speakers,Zenith,Mechanical keyboard with tactile RGB switches.,₹132809.63
278,4k ultra hd monitor 27-inch,Accessories > Adapters & Hubs,techcorp,Ergonomic wireless optical mouse with quiet clicks.,"$1,369.56"
279,ERGONOMIC WIRELESS MOUSE,Accessories > Adapters & Hubs,techcorp,High performance workstation laptop built for video editing.,1748
280,Over-Ear Noise Canceling Headphones,Electronics > Computers > Laptops,Zenith,Ergonomic wireless optical mouse with quiet clicks.,₹141272.47
281,   Slim Ultrabook 14-inch   ,Electronics > Desktops,SoundX,Powerful gaming desktop PC with liquid cooling.,Free
282,   Ergonomic Wireless Mouse   ,ELECTRONICS > LAPTOPS,,Mechanical keyboard with tactile RGB switches.,₹13684.33
283,Gaming Desktop RTX 4070,Accessories > Mouse,BuildPC,Powerful gaming desktop PC with liquid cooling.,1529
284,over-ear noise canceling headphones,Tech > Audio > Speakers,,<p>High performance <b>lightweight</b> laptop for productivity.</p>,1347
285,   Smartwatch Series X   ,ELECTRONICS > LAPTOPS,   LogiTech   ,Ergonomic wireless optical mouse with quiet clicks.,Free
286,MECHANICAL RGB KEYBOARD,Audio > Headphones,   Zenith   ,Affordable office laptop with long battery efficiency.,
287,air lite wireless earbuds,Wearables > Smartwatches,Clicky,Professional studio monitor wired headphones for audio mixing.,"$1,719.83"
288,Bluetooth Party Speaker,Audio > Wireless > Earbuds,BuildPC,Compact wireless earbuds with deep bass. <br>Waterproof!,Free
289,portable external ssd 1tb,Electronics > Desktops,   BuildPC   ,Mechanical keyboard with tactile RGB switches.,"$1,872.93"
290,   Studio Monitor Headphones   ,Accessories > Keyboards,BuildPC,Affordable office laptop with long battery efficiency.,1744
291,   4K Ultra HD Monitor 27-inch   ,Electronics > Computers > Laptops,BuildPC,Powerful gaming desktop PC with liquid cooling.,933.67 USD
292,Gaming Desktop RTX 4070,Audio > Headphones,   Apple   ,,Free
293,   Studio Monitor Headphones   ,Wearables > Smartwatches,LogiTech,High performance workstation laptop built for video editing.,PRICE: $499.78
294,   Gaming Desktop RTX 4070   ,Accessories > Mouse,Zenith,Ultra thin lightweight laptop for everyday office work.,Free
295,SLIM ULTRABOOK 14-INCH,Electronics > Laptops,Clicky,Smart watch with heart rate monitor and GPS tracking.,$1948.97
296,   Smartwatch Series X   ,Electronics > Desktops,BuildPC,Ultra thin lightweight laptop for everyday office work.,PRICE: $1059.06
297,Studio Monitor Headphones,Wearables > Smartwatches,LogiTech,Smart watch with heart rate monitor and GPS tracking.,
298,UNKNOWN PRODUCT,Accessories > Keyboards,TechCorp,Compact wireless earbuds with deep bass. <br>Waterproof!,
299,   Bluetooth Party Speaker   ,Electronics > Computers > Laptops,TechCorp,Smart watch with heart rate monitor and GPS tracking.,145.08 USD
300,Workstation Laptop Pro 16,ELECTRONICS > LAPTOPS,,Mechanical keyboard with tactile RGB switches.,-788.42
301,gaming desktop rtx 4070,Tech > Audio > Speakers,TechCorp,Ultra thin lightweight laptop for everyday office work.,₹103753.31
302,PROBOOK ULTRA LAPTOP 15-INCH,ELECTRONICS > LAPTOPS,techcorp,Compact wireless earbuds with deep bass. <br>Waterproof!,Free
303,Slim Ultrabook 14-inch,Wearables > Smartwatches,,Mechanical keyboard with tactile RGB switches.,-179.30
304,Budget Office Laptop 15,Electronics > Laptops,techcorp,Ultra thin lightweight laptop for everyday office work.,392.91 USD
305,UNKNOWN PRODUCT,Audio > Wireless > Earbuds,Clicky,Ultra thin lightweight laptop for everyday office work.,
306,Workstation Laptop Pro 16,Electronics > Desktops,techcorp,Premium wireless over-ear headphones with active noise cancellation.,$1873.71
307,   Smartwatch Series X   ,Audio > Headphones,LogiTech,Compact wireless earbuds with deep bass. <br>Waterproof!,$1319.34
308,   Studio Monitor Headphones   ,Audio > Headphones,,High performance workstation laptop built for video editing.,"$1,714.33"
309,usb-c multiport hub,Audio > Wireless > Earbuds,,Powerful gaming desktop PC with liquid cooling.,1851.36 USD
310,Ergonomic Wireless Mouse,Accessories > Keyboards,Acoustics,Compact wireless earbuds with deep bass. <br>Waterproof!,
311,UNKNOWN PRODUCT,Electronics > Computers > Laptops,TechCorp,Powerful gaming desktop PC with liquid cooling.,₹35019.68
312,   USB-C Multiport Hub   ,Electronics > Computers > Laptops,Clicky,Ultra thin lightweight laptop for everyday office work.,-1781.18
313,OVER-EAR NOISE CANCELING HEADPHONES,Audio > Wireless > Earbuds,Zenith,Mechanical keyboard with tactile RGB switches.,1121.18 USD
314,Workstation Laptop Pro 16,Accessories > Adapters & Hubs,LogiTech,Smart watch with heart rate monitor and GPS tracking.,-174.23
315,PROBOOK ULTRA LAPTOP 15-INCH,Audio > Headphones,Apple,<p>High performance <b>lightweight</b> laptop for productivity.</p>,PRICE: $151.86
316,   Portable External SSD 1TB   ,Electronics > Laptops,TechCorp,Smart watch with heart rate monitor and GPS tracking.,65.82 USD
317,workstation laptop pro 16,Electronics > Computers > Laptops,BuildPC,Compact wireless earbuds with deep bass. <br>Waterproof!,595
318,   Over-Ear Noise Canceling Headphones   ,Electronics > Laptops,LogiTech,Ergonomic wireless optical mouse with quiet clicks.,883.39 USD
319,Ergonomic Wireless Mouse,Audio > Wireless > Earbuds,LogiTech,Ultra thin lightweight laptop for everyday office work.,1222
320,   Over-Ear Noise Canceling Headphones   ,,,Ultra thin lightweight laptop for everyday office work.,1217
321,   Gaming Desktop RTX 4070   ,,   Zenith   ,Compact wireless earbuds with deep bass. <br>Waterproof!,PRICE: $1501.25
322,gaming desktop rtx 4070,Audio > Headphones,   TechCorp   ,Affordable office laptop with long battery efficiency.,1320
323,usb-c multiport hub,Electronics > Laptops,techcorp,Powerful gaming desktop PC with liquid cooling.,
324,   USB-C Multiport Hub   ,Accessories > Mouse,Acoustics,Mechanical keyboard with tactile RGB switches.,
325,Portable External SSD 1TB,Accessories > Adapters & Hubs,   techcorp   ,Mechanical keyboard with tactile RGB switches.,Free
326,Workstation Laptop Pro 16,Accessories > Mouse,,Powerful gaming desktop PC with liquid cooling.,$348.89
327,mechanical rgb keyboard,Electronics > Computers > Laptops,   SoundX   ,Powerful gaming desktop PC with liquid cooling.,$1095.52
328,PORTABLE EXTERNAL SSD 1TB,Electronics > Laptops,LogiTech,<p>High performance <b>lightweight</b> laptop for productivity.</p>,1769
329,Budget Office Laptop 15,Electronics > Computers > Laptops,Apple,,PRICE: $167.21
330,UNKNOWN PRODUCT,Accessories > Adapters & Hubs,,Ultra thin lightweight laptop for everyday office work.,
331,UNKNOWN PRODUCT,Tech > Audio > Speakers,Clicky,<p>High performance <b>lightweight</b> laptop for productivity.</p>,
332,mechanical rgb keyboard,Audio > Headphones,LogiTech,Premium wireless over-ear headphones with active noise cancellation.,$1717.93
333,MECHANICAL RGB KEYBOARD,Electronics > Laptops,TechCorp,Ultra thin lightweight laptop for everyday office work.,
334,   Workstation Laptop Pro 16   ,Accessories > Adapters & Hubs,BuildPC,Powerful gaming desktop PC with liquid cooling.,Free
335,UNKNOWN PRODUCT,Tech > Audio > Speakers,Zenith,Professional studio monitor wired headphones for audio mixing.,₹125379.32
336,   Gaming Desktop RTX 4070   ,Audio > Headphones,Apple,<p>High performance <b>lightweight</b> laptop for productivity.</p>,$1488.03
337,   4K Ultra HD Monitor 27-inch   ,Wearables > Smartwatches,   Clicky   ,High performance workstation laptop built for video editing.,
338,   Studio Monitor Headphones   ,,techcorp,Smart watch with heart rate monitor and GPS tracking.,$1644.61
339,GAMING DESKTOP RTX 4070,ELECTRONICS > LAPTOPS,   SoundX   ,Powerful gaming desktop PC with liquid cooling.,"$1,006.31"
340,   Studio Monitor Headphones   ,Accessories > Adapters & Hubs,BuildPC,Powerful gaming desktop PC with liquid cooling.,"$1,949.56"
341,4K ULTRA HD MONITOR 27-INCH,Accessories > Keyboards,   LogiTech   ,Smart watch with heart rate monitor and GPS tracking.,1472
342,PORTABLE EXTERNAL SSD 1TB,,BuildPC,Ergonomic wireless optical mouse with quiet clicks.,"$1,169.05"
343,   Studio Monitor Headphones   ,Accessories > Mouse,,Mechanical keyboard with tactile RGB switches.,$1683.13
344,Smartwatch Series X,Audio > Headphones,,Affordable office laptop with long battery efficiency.,$795.37
345,workstation laptop pro 16,Electronics > Laptops,SoundX,Compact wireless earbuds with deep bass. <br>Waterproof!,$566.37
346,Bluetooth Party Speaker,Electronics > Laptops,techcorp,Affordable office laptop with long battery efficiency.,₹104882.67
347,slim ultrabook 14-inch,Electronics > Laptops,Acoustics,Compact wireless earbuds with deep bass. <br>Waterproof!,PRICE: $894.54
348,Smartwatch Series X,,   techcorp   ,Professional studio monitor wired headphones for audio mixing.,Free
349,Over-Ear Noise Canceling Headphones,Electronics > Desktops,,Ultra thin lightweight laptop for everyday office work.,338.59 USD
350,Portable External SSD 1TB,ELECTRONICS > LAPTOPS,techcorp,High performance workstation laptop built for video editing.,
351,UNKNOWN PRODUCT,Audio > Wireless > Earbuds,TechCorp,Mechanical keyboard with tactile RGB switches.,Free
352,over-ear noise canceling headphones,Wearables > Smartwatches,Apple,Powerful gaming desktop PC with liquid cooling.,1032.94 USD
353,air lite wireless earbuds,ELECTRONICS > LAPTOPS,LogiTech,Smart watch with heart rate monitor and GPS tracking.,1626.79 USD
354,usb-c multiport hub,Accessories > Adapters & Hubs,,Ultra thin lightweight laptop for everyday office work.,743
355,BUDGET OFFICE LAPTOP 15,,   SoundX   ,Affordable office laptop with long battery efficiency.,PRICE: $120.69
356,   Ergonomic Wireless Mouse   ,Wearables > Smartwatches,   Acoustics   ,Ergonomic wireless optical mouse with quiet clicks.,-842.93
357,OVER-EAR NOISE CANCELING HEADPHONES,Accessories > Mouse,   SoundX   ,High performance workstation laptop built for video editing.,₹80841.56
358,Workstation Laptop Pro 16,ELECTRONICS > LAPTOPS,,Mechanical keyboard with tactile RGB switches.,-788.42
359,budget office laptop 15,Wearables > Smartwatches,SoundX,Compact wireless earbuds with deep bass. <br>Waterproof!,PRICE: $311.87
360,MECHANICAL RGB KEYBOARD,,LogiTech,Ergonomic wireless optical mouse with quiet clicks.,-1304.85
361,BUDGET OFFICE LAPTOP 15,Audio > Headphones,   Zenith   ,Smart watch with heart rate monitor and GPS tracking.,1490.32 USD
362,Budget Office Laptop 15,Wearables > Smartwatches,techcorp,Powerful gaming desktop PC with liquid cooling.,1525.53 USD
363,smartwatch series x,Electronics > Desktops,,Mechanical keyboard with tactile RGB switches.,PRICE: $75.54
364,air lite wireless earbuds,Audio > Headphones,LogiTech,Affordable office laptop with long battery efficiency.,$613.59
365,   Smartwatch Series X   ,Accessories > Mouse,SoundX,Mechanical keyboard with tactile RGB switches.,Free
366,USB-C Multiport Hub,Electronics > Laptops,Zenith,Premium wireless over-ear headphones with active noise cancellation.,1296
367,PROBOOK ULTRA LAPTOP 15-INCH,Accessories > Adapters & Hubs,Zenith,Powerful gaming desktop PC with liquid cooling.,1526
368,Gaming Desktop RTX 4070,Accessories > Adapters & Hubs,LogiTech,Premium wireless over-ear headphones with active noise cancellation.,Free
369,slim ultrabook 14-inch,Audio > Wireless > Earbuds,   BuildPC   ,Professional studio monitor wired headphones for audio mixing.,₹67028.20
370,Ergonomic Wireless Mouse,Accessories > Adapters & Hubs,Apple,Mechanical keyboard with tactile RGB switches.,318.90 USD
371,portable external ssd 1tb,Electronics > Laptops,SoundX,Premium wireless over-ear headphones with active noise cancellation.,$574.11
372,budget office laptop 15,Accessories > Adapters & Hubs,Acoustics,Affordable office laptop with long battery efficiency.,
373,probook ultra laptop 15-inch,,techcorp,Affordable office laptop with long battery efficiency.,530.61 USD
374,Bluetooth Party Speaker,Tech > Audio > Speakers,   SoundX   ,Ergonomic wireless optical mouse with quiet clicks.,$1812.51
375,   Workstation Laptop Pro 16   ,Accessories > Adapters & Hubs,   BuildPC   ,Smart watch with heart rate monitor and GPS tracking.,$995.48
376,   Workstation Laptop Pro 16   ,,SoundX,Affordable office laptop with long battery efficiency.,357.96 USD
377,mechanical rgb keyboard,Audio > Headphones,SoundX,High performance workstation laptop built for video editing.,PRICE: $1116.75
378,   Studio Monitor Headphones   ,,Acoustics,Mechanical keyboard with tactile RGB switches.,PRICE: $758.25
379,   Slim Ultrabook 14-inch   ,ELECTRONICS > LAPTOPS,BuildPC,Ultra thin lightweight laptop for everyday office work.,$530.45
380,   Portable External SSD 1TB   ,Wearables > Smartwatches,Clicky,High performance workstation laptop built for video editing.,1588
381,UNKNOWN PRODUCT,Audio > Wireless > Earbuds,BuildPC,Premium wireless over-ear headphones with active noise cancellation.,₹97405.04
382,smartwatch series x,Audio > Wireless > Earbuds,   Clicky   ,Powerful gaming desktop PC with liquid cooling.,-124.00
383,AIR LITE WIRELESS EARBUDS,Electronics > Computers > Laptops,   Apple   ,Premium wireless over-ear headphones with active noise cancellation.,
384,   Bluetooth Party Speaker   ,Accessories > Mouse,SoundX,Affordable office laptop with long battery efficiency.,₹59335.76
385,Smartwatch Series X,Accessories > Keyboards,Clicky,Powerful gaming desktop PC with liquid cooling.,"$1,331.98"
386,   Over-Ear Noise Canceling Headphones   ,Tech > Audio > Speakers,SoundX,Smart watch with heart rate monitor and GPS tracking.,$353.90
387,   Slim Ultrabook 14-inch   ,Electronics > Laptops,Apple,High performance workstation laptop built for video editing.,
388,Studio Monitor Headphones,Electronics > Computers > Laptops,   Apple   ,Compact wireless earbuds with deep bass. <br>Waterproof!,$378.08
389,WORKSTATION LAPTOP PRO 16,Accessories > Keyboards,Clicky,Ultra thin lightweight laptop for everyday office work.,₹22313.36
390,WORKSTATION LAPTOP PRO 16,Wearables > Smartwatches,Apple,High performance workstation laptop built for video editing.,Free
391,PORTABLE EXTERNAL SSD 1TB,Electronics > Laptops,SoundX,Premium wireless over-ear headphones with active noise cancellation.,Free
392,   Ergonomic Wireless Mouse   ,Accessories > Adapters & Hubs,LogiTech,Smart watch with heart rate monitor and GPS tracking.,
393,Slim Ultrabook 14-inch,Wearables > Smartwatches,,Compact wireless earbuds with deep bass. <br>Waterproof!,$161.39
394,   Smartwatch Series X   ,Electronics > Laptops,   SoundX   ,<p>High performance <b>lightweight</b> laptop for productivity.</p>,679
395,USB-C Multiport Hub,Accessories > Keyboards,Apple,,₹29419.65
396,USB-C Multiport Hub,ELECTRONICS > LAPTOPS,Acoustics,Powerful gaming desktop PC with liquid cooling.,$288.27
397,portable external ssd 1tb,ELECTRONICS > LAPTOPS,Clicky,Ultra thin lightweight laptop for everyday office work.,1013
398,4K Ultra HD Monitor 27-inch,Tech > Audio > Speakers,TechCorp,Mechanical keyboard with tactile RGB switches.,Free
399,MECHANICAL RGB KEYBOARD,Electronics > Computers > Laptops,Acoustics,Compact wireless earbuds with deep bass. <br>Waterproof!,Free
400,Slim Ultrabook 14-inch,Wearables > Smartwatches,Clicky,Smart watch with heart rate monitor and GPS tracking.,-1484.40
401,gaming desktop rtx 4070,Electronics > Computers > Laptops,   SoundX   ,Compact wireless earbuds with deep bass. <br>Waterproof!,-1528.83
402,STUDIO MONITOR HEADPHONES,Tech > Audio > Speakers,Zenith,Ergonomic wireless optical mouse with quiet clicks.,
403,ergonomic wireless mouse,Audio > Headphones,Clicky,Ergonomic wireless optical mouse with quiet clicks.,₹7556.99
404,UNKNOWN PRODUCT,Electronics > Desktops,Zenith,Premium wireless over-ear headphones with active noise cancellation.,$1761.28
405,GAMING DESKTOP RTX 4070,Electronics > Desktops,   Apple   ,Mechanical keyboard with tactile RGB switches.,Free
406,   Gaming Desktop RTX 4070   ,Tech > Audio > Speakers,   Clicky   ,Ultra thin lightweight laptop for everyday office work.,419.48 USD
407,   4K Ultra HD Monitor 27-inch   ,Tech > Audio > Speakers,Acoustics,Compact wireless earbuds with deep bass. <br>Waterproof!,
408,   Ergonomic Wireless Mouse   ,Audio > Wireless > Earbuds,SoundX,Mechanical keyboard with tactile RGB switches.,204
409,ERGONOMIC WIRELESS MOUSE,Audio > Headphones,SoundX,Premium wireless over-ear headphones with active noise cancellation.,"$1,544.10"
410,   Mechanical RGB Keyboard   ,Accessories > Adapters & Hubs,,Compact wireless earbuds with deep bass. <br>Waterproof!,
411,   USB-C Multiport Hub   ,ELECTRONICS > LAPTOPS,,Ergonomic wireless optical mouse with quiet clicks.,$1005.08
412,BLUETOOTH PARTY SPEAKER,Electronics > Laptops,   techcorp   ,Smart watch with heart rate monitor and GPS tracking.,PRICE: $500.84
413,Studio Monitor Headphones,Wearables > Smartwatches,,<p>High performance <b>lightweight</b> laptop for productivity.</p>,Free
414,air lite wireless earbuds,Accessories > Keyboards,Apple,Smart watch with heart rate monitor and GPS tracking.,-1508.19
415,Air Lite Wireless Earbuds,Electronics > Computers > Laptops,,<p>High performance <b>lightweight</b> laptop for productivity.</p>,1539
416,4K Ultra HD Monitor 27-inch,Accessories > Adapters & Hubs,,Compact wireless earbuds with deep bass. <br>Waterproof!,Free
417,UNKNOWN PRODUCT,Electronics > Desktops,BuildPC,High performance workstation laptop built for video editing.,819
418,AIR LITE WIRELESS EARBUDS,Audio > Wireless > Earbuds,,Mechanical keyboard with tactile RGB switches.,"$1,090.34"
419,   ProBook Ultra Laptop 15-inch   ,Accessories > Keyboards,SoundX,Smart watch with heart rate monitor and GPS tracking.,1966.20 USD
420,OVER-EAR NOISE CANCELING HEADPHONES,Electronics > Desktops,LogiTech,<p>High performance <b>lightweight</b> laptop for productivity.</p>,
421,PROBOOK ULTRA LAPTOP 15-INCH,Electronics > Laptops,   Clicky   ,Premium wireless over-ear headphones with active noise cancellation.,
422,Budget Office Laptop 15,Electronics > Computers > Laptops,Acoustics,Affordable office laptop with long battery efficiency.,$276.05
423,USB-C Multiport Hub,Audio > Wireless > Earbuds,SoundX,Ergonomic wireless optical mouse with quiet clicks.,1633.01 USD
424,   Portable External SSD 1TB   ,Wearables > Smartwatches,Zenith,Smart watch with heart rate monitor and GPS tracking.,$37.62
425,   Bluetooth Party Speaker   ,Tech > Audio > Speakers,,Affordable office laptop with long battery efficiency.,1332.74 USD
426,   Over-Ear Noise Canceling Headphones   ,Wearables > Smartwatches,TechCorp,Professional studio monitor wired headphones for audio mixing.,-83.97
427,Over-Ear Noise Canceling Headphones,ELECTRONICS > LAPTOPS,,Smart watch with heart rate monitor and GPS tracking.,$711.06
428,OVER-EAR NOISE CANCELING HEADPHONES,ELECTRONICS > LAPTOPS,,Smart watch with heart rate monitor and GPS tracking.,"$1,096.35"
429,ProBook Ultra Laptop 15-inch,,LogiTech,Ultra thin lightweight laptop for everyday office work.,₹28628.47
430,usb-c multiport hub,Accessories > Adapters & Hubs,Zenith,Powerful gaming desktop PC with liquid cooling.,PRICE: $817.64
431,4K Ultra HD Monitor 27-inch,Accessories > Mouse,SoundX,Smart watch with heart rate monitor and GPS tracking.,1622.41 USD
432,Over-Ear Noise Canceling Headphones,Accessories > Mouse,Apple,Ergonomic wireless optical mouse with quiet clicks.,$479.17
433,Workstation Laptop Pro 16,Accessories > Adapters & Hubs,   Acoustics   ,Mechanical keyboard with tactile RGB switches.,Free
434,Smartwatch Series X,Audio > Wireless > Earbuds,,<p>High performance <b>lightweight</b> laptop for productivity.</p>,$193.29
435,Budget Office Laptop 15,Accessories > Mouse,Clicky,Premium wireless over-ear headphones with active noise cancellation.,Free
436,   Over-Ear Noise Canceling Headphones   ,Electronics > Computers > Laptops,   SoundX   ,Ultra thin lightweight laptop for everyday office work.,-636.92
437,Air Lite Wireless Earbuds,Accessories > Mouse,   techcorp   ,Mechanical keyboard with tactile RGB switches.,-858.69
438,   Budget Office Laptop 15   ,Audio > Wireless > Earbuds,BuildPC,High performance workstation laptop built for video editing.,Free
439,SMARTWATCH SERIES X,Electronics > Computers > Laptops,Zenith,Powerful gaming desktop PC with liquid cooling.,-1809.67
440,Budget Office Laptop 15,Electronics > Desktops,,Ultra thin lightweight laptop for everyday office work.,$1319.66
441,AIR LITE WIRELESS EARBUDS,Wearables > Smartwatches,Acoustics,Premium wireless over-ear headphones with active noise cancellation.,$938.23
442,ProBook Ultra Laptop 15-inch,Accessories > Adapters & Hubs,Clicky,Affordable office laptop with long battery efficiency.,208
443,air lite wireless earbuds,Accessories > Adapters & Hubs,SoundX,Ultra thin lightweight laptop for everyday office work.,
444,air lite wireless earbuds,Audio > Headphones,Apple,<p>High performance <b>lightweight</b> laptop for productivity.</p>,1042
445,AIR LITE WIRELESS EARBUDS,Audio > Headphones,BuildPC,Mechanical keyboard with tactile RGB switches.,1867.11 USD
446,BLUETOOTH PARTY SPEAKER,Audio > Wireless > Earbuds,   SoundX   ,Affordable office laptop with long battery efficiency.,-1307.04
447,UNKNOWN PRODUCT,Electronics > Computers > Laptops,Acoustics,Compact wireless earbuds with deep bass. <br>Waterproof!,"$1,863.70"
448,Bluetooth Party Speaker,Wearables > Smartwatches,BuildPC,Powerful gaming desktop PC with liquid cooling.,1811
449,   ProBook Ultra Laptop 15-inch   ,Audio > Wireless > Earbuds,TechCorp,Mechanical keyboard with tactile RGB switches.,"$1,428.00"
450,Smartwatch Series X,Accessories > Mouse,TechCorp,Professional studio monitor wired headphones for audio mixing.,$803.31
451,PROBOOK ULTRA LAPTOP 15-INCH,Electronics > Computers > Laptops,Zenith,Professional studio monitor wired headphones for audio mixing.,Free
452,   Studio Monitor Headphones   ,Electronics > Desktops,SoundX,High performance workstation laptop built for video editing.,$322.62
453,MECHANICAL RGB KEYBOARD,Electronics > Laptops,TechCorp,Smart watch with heart rate monitor and GPS tracking.,1570
454,ERGONOMIC WIRELESS MOUSE,Wearables > Smartwatches,LogiTech,<p>High performance <b>lightweight</b> laptop for productivity.</p>,$1293.93
455,   Air Lite Wireless Earbuds   ,Electronics > Laptops,,High performance workstation laptop built for video editing.,PRICE: $239.12
456,USB-C Multiport Hub,Accessories > Keyboards,Acoustics,Professional studio monitor wired headphones for audio mixing.,$251.41
457,Workstation Laptop Pro 16,,Apple,<p>High performance <b>lightweight</b> laptop for productivity.</p>,
458,Gaming Desktop RTX 4070,Electronics > Computers > Laptops,SoundX,,Free
